,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Cavs Legion GC,Savage,Playoffs,4 ,38 ,4 ,– ,– ,8 ,4 ,8 ,– ,8 ,24 ,15 ,63% ,79% ,8 ,7 ,88% ,16 ,8 ,50% ,– ,– ,-,– ,4 ,,9.5 ,1.0 ,– ,– ,2.0 ,1.0 ,2.0 ,– ,2.0 ,6.0 ,3.8 ,63% ,79% ,2.0 ,1.8 ,88% ,4.0 ,2.0 ,50% ,– ,– ,-,– ,1.0 
Heatcheck Gaming,Sharpshooterlos,Playoffs,3 ,19 ,4 ,2 ,2.0 ,– ,– ,4 ,– ,4 ,15 ,6 ,40% ,43% ,8 ,5 ,63% ,7 ,1 ,14% ,7 ,6 ,86% ,5 ,3 ,,6.3 ,1.3 ,0.7 ,2.0 ,– ,– ,1.3 ,– ,1.3 ,5.0 ,2.0 ,40% ,43% ,2.7 ,1.7 ,63% ,2.3 ,0.3 ,14% ,2.3 ,2.0 ,86% ,1.7 ,1.0 
Cavs Legion GC,SickX973,Playoffs,4 ,86 ,13 ,13 ,1.0 ,6 ,12 ,74 ,39 ,35 ,56 ,40 ,71% ,71% ,56 ,40 ,71% ,– ,– ,-,9 ,6 ,67% ,8 ,11 ,,21.5 ,3.3 ,3.3 ,1.0 ,1.5 ,3.0 ,18.5 ,9.8 ,8.8 ,14.0 ,10.0 ,71% ,71% ,14.0 ,10.0 ,71% ,– ,– ,-,2.3 ,1.5 ,67% ,2.0 ,2.8 
76ers GC,Steez,Playoffs,3 ,79 ,– ,6 ,– ,1 ,– ,23 ,20 ,3 ,48 ,34 ,71% ,71% ,48 ,34 ,71% ,– ,– ,-,14 ,11 ,79% ,9 ,4 ,,26.3 ,– ,2.0 ,– ,0.3 ,– ,7.7 ,6.7 ,1.0 ,16.0 ,11.3 ,71% ,71% ,16.0 ,11.3 ,71% ,– ,– ,-,4.7 ,3.7 ,79% ,3.0 ,1.3 
Cavs Legion GC,Toxsik,Playoffs,4 ,29 ,2 ,1 ,2.0 ,– ,1 ,2 ,– ,2 ,20 ,11 ,55% ,73% ,7 ,4 ,57% ,13 ,7 ,54% ,– ,– ,-,– ,9 ,,7.3 ,0.5 ,0.3 ,2.0 ,– ,0.3 ,0.5 ,– ,0.5 ,5.0 ,2.8 ,55% ,73% ,1.8 ,1.0 ,57% ,3.3 ,1.8 ,54% ,– ,– ,-,– ,2.3 
Raptors Uprising GC,TsJosh,Playoffs,1 ,4 ,3 ,2 ,1.5 ,– ,– ,– ,– ,– ,4 ,1 ,25% ,25% ,1 ,1 ,100% ,3 ,– ,– ,2 ,2 ,100% ,3 ,1 ,,4.0 ,3.0 ,2.0 ,1.5 ,– ,– ,– ,– ,– ,4.0 ,1.0 ,25% ,25% ,1.0 ,1.0 ,100% ,3.0 ,– ,– ,2.0 ,2.0 ,100% ,3.0 ,1.0 
Knicks Gaming,Yeynotgaming,Playoffs,4 ,31 ,2 ,2 ,1.0 ,2 ,– ,1 ,– ,1 ,20 ,13 ,65% ,73% ,11 ,10 ,91% ,9 ,3 ,33% ,2 ,2 ,100% ,4 ,3 ,,7.8 ,0.5 ,0.5 ,1.0 ,0.5 ,– ,0.3 ,– ,0.3 ,5.0 ,3.3 ,65% ,73% ,2.8 ,2.5 ,91% ,2.3 ,0.8 ,33% ,0.5 ,0.5 ,100% ,1.0 ,0.8 
Raptors Uprising GC,Yusuf_Scarbz,Playoffs,1 ,6 ,– ,2 ,– ,– ,– ,– ,– ,– ,4 ,2 ,50% ,75% ,– ,– ,-,4 ,2 ,50% ,– ,– ,-,– ,– ,,6.0 ,– ,2.0 ,– ,– ,– ,– ,– ,– ,4.0 ,2.0 ,50% ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,– ,– ,-,– ,– 
76ers GC,ZDS,Playoffs,3 ,33 ,3 ,3 ,1.0 ,2 ,– ,– ,– ,– ,27 ,11 ,41% ,57% ,9 ,2 ,22% ,18 ,9 ,50% ,– ,– ,-,1 ,– ,,11.0 ,1.0 ,1.0 ,1.0 ,0.7 ,– ,– ,– ,– ,9.0 ,3.7 ,41% ,57% ,3.0 ,0.7 ,22% ,6.0 ,3.0 ,50% ,– ,– ,-,0.3 ,– 
,,,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
,,AVG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
