,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Cavs Legion GC,Godddof2k,Mid-Season Tournament 2,3 ,18 ,3 ,2 ,1.5 ,7 ,3 ,25 ,6 ,19 ,16 ,8 ,50% ,53% ,11 ,7 ,64% ,5 ,1 ,20% ,2 ,1 ,50% ,– ,8 ,,6.0 ,1.0 ,0.7 ,1.5 ,2.3 ,1.0 ,8.3 ,2.0 ,6.3 ,5.3 ,2.7 ,50% ,53% ,3.7 ,2.3 ,64% ,1.7 ,0.3 ,20% ,0.7 ,0.3 ,50% ,– ,2.7 
Cavs Legion GC,Godddof2k,Mid-Season Tournament 1,1 ,18 ,5 ,1 ,5.0 ,– ,1 ,6 ,3 ,3 ,13 ,7 ,54% ,54% ,13 ,7 ,54% ,– ,– ,-,6 ,4 ,67% ,4 ,1 ,,18.0 ,5.0 ,1.0 ,5.0 ,– ,1.0 ,6.0 ,3.0 ,3.0 ,13.0 ,7.0 ,54% ,54% ,13.0 ,7.0 ,54% ,– ,– ,-,6.0 ,4.0 ,67% ,4.0 ,1.0 
Knicks Gaming,Goofy757,Mid-Season Tournament 2,4 ,68 ,21 ,7 ,3.0 ,9 ,5 ,50 ,24 ,26 ,53 ,31 ,59% ,59% ,53 ,31 ,59% ,– ,– ,-,12 ,6 ,50% ,12 ,2 ,,17.0 ,5.3 ,1.8 ,3.0 ,2.3 ,1.3 ,12.5 ,6.0 ,6.5 ,13.3 ,7.8 ,59% ,59% ,13.3 ,7.8 ,59% ,– ,– ,-,3.0 ,1.5 ,50% ,3.0 ,0.5 
Knicks Gaming,Goofy757,Mid-Season Tournament 1,3 ,60 ,2 ,8 ,0.3 ,7 ,2 ,29 ,12 ,17 ,39 ,24 ,62% ,64% ,36 ,22 ,61% ,3 ,2 ,67% ,12 ,10 ,83% ,9 ,4 ,,20.0 ,0.7 ,2.7 ,0.3 ,2.3 ,0.7 ,9.7 ,4.0 ,5.7 ,13.0 ,8.0 ,62% ,64% ,12.0 ,7.3 ,61% ,1.0 ,0.7 ,67% ,4.0 ,3.3 ,83% ,3.0 ,1.3 
Blazers Gaming,GrantMonster,Mid-Season Tournament 2,1 ,12 ,1 ,– ,– ,1 ,– ,– ,– ,– ,5 ,4 ,80% ,120% ,1 ,– ,– ,4 ,4 ,100% ,– ,– ,-,– ,– ,,12.0 ,1.0 ,– ,– ,1.0 ,– ,– ,– ,– ,5.0 ,4.0 ,80% ,120% ,1.0 ,– ,– ,4.0 ,4.0 ,100% ,– ,– ,-,– ,– 
Blazers Gaming,GrantMonster,Mid-Season Tournament 1,4 ,19 ,7 ,3 ,2.3 ,3 ,– ,– ,– ,– ,13 ,7 ,54% ,69% ,6 ,3 ,50% ,7 ,4 ,57% ,1 ,1 ,100% ,2 ,3 ,,4.8 ,1.8 ,0.8 ,2.3 ,0.8 ,– ,– ,– ,– ,3.3 ,1.8 ,54% ,69% ,1.5 ,0.8 ,50% ,1.8 ,1.0 ,57% ,0.3 ,0.3 ,100% ,0.5 ,0.8 
Mavs Gaming,Hazzauk2k,Mid-Season Tournament 2,2 ,11 ,– ,– ,– ,2 ,2 ,5 ,1 ,4 ,7 ,4 ,57% ,79% ,2 ,1 ,50% ,5 ,3 ,60% ,– ,– ,-,– ,3 ,,5.5 ,– ,– ,– ,1.0 ,1.0 ,2.5 ,0.5 ,2.0 ,3.5 ,2.0 ,57% ,79% ,1.0 ,0.5 ,50% ,2.5 ,1.5 ,60% ,– ,– ,-,– ,1.5 
Mavs Gaming,Hazzauk2k,Mid-Season Tournament 1,2 ,8 ,1 ,2 ,0.5 ,1 ,– ,7 ,– ,7 ,8 ,3 ,38% ,50% ,2 ,1 ,50% ,6 ,2 ,33% ,– ,– ,-,– ,1 ,,4.0 ,0.5 ,1.0 ,0.5 ,0.5 ,– ,3.5 ,– ,3.5 ,4.0 ,1.5 ,38% ,50% ,1.0 ,0.5 ,50% ,3.0 ,1.0 ,33% ,– ,– ,-,– ,0.5 
Cavs Legion GC,Hood,Mid-Season Tournament 2,3 ,132 ,10 ,13 ,0.8 ,4 ,1 ,20 ,8 ,12 ,83 ,62 ,75% ,75% ,83 ,62 ,75% ,– ,– ,-,10 ,8 ,80% ,13 ,5 ,,44.0 ,3.3 ,4.3 ,0.8 ,1.3 ,0.3 ,6.7 ,2.7 ,4.0 ,27.7 ,20.7 ,75% ,75% ,27.7 ,20.7 ,75% ,– ,– ,-,3.3 ,2.7 ,80% ,4.3 ,1.7 
Cavs Legion GC,Hood,Mid-Season Tournament 1,1 ,7 ,9 ,8 ,1.1 ,– ,– ,– ,– ,– ,8 ,3 ,38% ,44% ,4 ,2 ,50% ,4 ,1 ,25% ,– ,– ,-,2 ,– ,,7.0 ,9.0 ,8.0 ,1.1 ,– ,– ,– ,– ,– ,8.0 ,3.0 ,38% ,44% ,4.0 ,2.0 ,50% ,4.0 ,1.0 ,25% ,– ,– ,-,2.0 ,– 
Heatcheck Gaming,Hotshot,Mid-Season Tournament 2,1 ,27 ,2 ,3 ,0.7 ,2 ,1 ,4 ,2 ,2 ,18 ,12 ,67% ,67% ,18 ,12 ,67% ,– ,– ,-,5 ,3 ,60% ,4 ,2 ,,27.0 ,2.0 ,3.0 ,0.7 ,2.0 ,1.0 ,4.0 ,2.0 ,2.0 ,18.0 ,12.0 ,67% ,67% ,18.0 ,12.0 ,67% ,– ,– ,-,5.0 ,3.0 ,60% ,4.0 ,2.0 
Heatcheck Gaming,Hotshot,Mid-Season Tournament 1,1 ,26 ,3 ,4 ,0.8 ,2 ,3 ,7 ,3 ,4 ,18 ,12 ,67% ,67% ,18 ,12 ,67% ,– ,– ,-,2 ,2 ,100% ,3 ,7 ,,26.0 ,3.0 ,4.0 ,0.8 ,2.0 ,3.0 ,7.0 ,3.0 ,4.0 ,18.0 ,12.0 ,67% ,67% ,18.0 ,12.0 ,67% ,– ,– ,-,2.0 ,2.0 ,100% ,3.0 ,7.0 
Heatcheck Gaming,HyperIsPro,Mid-Season Tournament 2,1 ,2 ,1 ,– ,– ,4 ,– ,4 ,– ,4 ,3 ,– ,– ,– ,– ,– ,-,3 ,– ,– ,2 ,2 ,100% ,1 ,– ,,2.0 ,1.0 ,– ,– ,4.0 ,– ,4.0 ,– ,4.0 ,3.0 ,– ,– ,– ,– ,– ,-,3.0 ,– ,– ,2.0 ,2.0 ,100% ,1.0 ,– 
